CLAVE,NOMBRE,PERIODO DE DATOS,CLAVE_OMM,MUNICIPIO,ESTADO,ORG_CUENCA,CUENCA,SUBCUENCA,TIPO_EST,ORGANISMO,SITUACION,LATG,LATM,LATS,LONG,LONM,LONS,ALTURA,OBSERVACIONES,LAT_DGRADO,LONG_DGRADO
1020,PRESA LA CODORNIZ,1963-2015,,CALVILLO,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RÕO †JUCHIPILA 1,RIO CALVILLO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,21,59,48,102,40,27,1850.2,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO RIO JUCHIPILA 1",21.996667,-102.674167
1021,RANCHO VIEJO,1959-2015,,SAN JOSE DE GRACIA,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,PRESA CALLES,RIO SAN PEDRO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,22,7,24,102,30,40,2126.6,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO PRESA CALLES",22.123333,-102.511111
1022,SAN BARTOLO,"1949-2013, 2015",,AGUASCALIENTES,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RÕO †ENCARNACION,RIO ENCARNACION,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,21,44,53,102,10,13,1997.6,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO RIO ENCARNACION",21.748056,-102.170278
1023,CALVILLO (DGE),"1959-1967, 1969-2015",,CALVILLO,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RÕO †JUCHIPILA 1,RIO CALVILLO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,21,50,12,102,42,42,1684.6,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO RIO JUCHIPILA 1",21.836667,-102.711667
1025,SAN FRANCISCO DE LOS ROMO (SMN),"1926-1932, 1941-1983",,SAN FRANCISCO DE LOS ROMO,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,PRESA EL NIAGARA,RIO SAN PEDRO,CLIMATOLOGICA,CONAGUA-SMN,SUSPENDIDA,22,4,38,102,16,16,1880,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO PRESA EL NIAGARA",22.077222,-102.271111
1026,TEPEZALA,1962-2015,,TEPEZALA,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RÕO †SAN PEDRO,RIO SAN PEDRO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,22,13,25,102,10,8,2110.2,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO RIO SAN PEDRO",22.223611,-102.168889
1027,VENADERO (DGE),1949-2015,,JESUS MARIA,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,PRESA EL NIAGARA,RIO MORCINIQUE,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,21,52,38,102,27,48,2025.6,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO PRESA EL NIAGARA",21.877222,-102.463333
1028,VILLA JUAREZ,1949-2015,,ASIENTOS,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,PRESA EL NIAGARA,RIO CHICALOTE,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,22,6,3,102,4,4,1999.3,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO PRESA EL NIAGARA",22.100833,-102.067778
1030,AGUASCALIENTES,1947-2015,,AGUASCALIENTES,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,PRESA EL NIAGARA,RIO AGUASCALIENTES,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,21,53,44,102,18,31,1888.7,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO PRESA EL NIAGARA",21.895556,-102.308611
1031,EL NOVILLO,"1972-2013, 2015",,EL LLANO,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RÕO †ENCARNACION,RIO CHICALOTE,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,22,1,8,101,59,57,2042.6,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO RIO ENCARNACION",22.018889,-101.999167
1033,LOS CONOS,1971-2015,,EL LLANO,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RÕO †ENCARNACION,RIO ENCARNACION,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,21,53,52,101,59,33,2025.9,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO RIO ENCARNACION",21.897778,-101.9925
1034,SANDOVALES,1972-2015,,EL LLANO,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,PRESA EL NIAGARA,RIO AGUASCALIENTES,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,21,53,6,102,6,33,2007,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO PRESA EL NIAGARA",21.885,-102.109167
1076,LOS NEGRITOS,1979-2015,,AGUASCALIENTES,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,PRESA EL NIAGARA,RIO AGUASCALIENTES,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,21,52,14,102,20,57,1887.1,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO PRESA EL NIAGARA",21.870556,-102.349167
1088,COSIO,1978-2015,,COSIO,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RÕO †SAN PEDRO,RIO SAN PEDRO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,22,21,46,102,17,49,2022.7,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO RIO SAN PEDRO",22.362778,-102.296944
2002,BAHIA DE LOS ANGELES,"1953-2007, 2009-2012",,ENSENADA,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,SAN PEDRO,ARROYO SAN PEDRO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,28,36,14,113,33,22,4,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO SAN PEDRO",28.603889,-113.556111
2003,BATAQUEZ,1948-2003,,MEXICALI,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,RÕO †COLORADO,CANAL DEL ALAMO,CLIMATOLOGICA,CONAGUA-DGE,SUSPENDIDA,32,33,4,115,4,8,23,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO RIO COLORADO",32.551111,-115.068889
2006,CHAPALA,1953-2012,,ENSENADA,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,LA PALMA,ARROYO CAMALAJUE,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,29,29,17,114,21,50,660,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO LA PALMA",29.488056,-114.363889
